Product_Name,Category,Date,Units_Sold
Tuna (Canned),Meat & Seafood,2023-09-10,156
Vegetable Oil,Oils & Fats,2023-09-10,140
Whole Wheat Bread,Grains & Staples,2023-09-10,196
Bananas,Fruits & Vegetables,2023-09-11,167
Bell Pepper,Fruits & Vegetables,2023-09-11,101
Butter (250g),Oils & Fats,2023-09-11,52
Cheddar Cheese,Dairy & Eggs,2023-09-11,64
Chicken Breast,Meat & Seafood,2023-09-11,98
Cumin Powder,Condiments & Spices,2023-09-11,46
Dark Chocolate,Snacks & Confectionery,2023-09-11,67
Eggs (12pk),Dairy & Eggs,2023-09-11,209
Frozen Peas (500g),Frozen Foods,2023-09-11,78
Frozen Pizza,Frozen Foods,2023-09-11,43
Greek Yogurt,Dairy & Eggs,2023-09-11,92
Green Tea (20pk),Beverages,2023-09-11,43
Ground Beef,Meat & Seafood,2023-09-11,105
Honey (500g),Snacks & Confectionery,2023-09-11,62
Milk (1L),Dairy & Eggs,2023-09-11,179
Mineral Water (2L),Beverages,2023-09-11,245
Oats (1kg),Grains & Staples,2023-09-11,68
Olive Oil,Oils & Fats,2023-09-11,58
Onions,Fruits & Vegetables,2023-09-11,112
Orange Juice (1L),Beverages,2023-09-11,65
Pasta (500g),Grains & Staples,2023-09-11,118
Potato Chips,Snacks & Confectionery,2023-09-11,119
Potatoes,Fruits & Vegetables,2023-09-11,106
Rice (5kg),Grains & Staples,2023-09-11,217
Salmon Fillet,Meat & Seafood,2023-09-11,53
Soy Sauce (300ml),Condiments & Spices,2023-09-11,81
Spinach,Fruits & Vegetables,2023-09-11,69
Tomato Ketchup,Condiments & Spices,2023-09-11,116
Tomatoes,Fruits & Vegetables,2023-09-11,88
Tuna (Canned),Meat & Seafood,2023-09-11,146
Vegetable Oil,Oils & Fats,2023-09-11,117
Whole Wheat Bread,Grains & Staples,2023-09-11,169
Bananas,Fruits & Vegetables,2023-09-12,171
Bell Pepper,Fruits & Vegetables,2023-09-12,62
Butter (250g),Oils & Fats,2023-09-12,55
Cheddar Cheese,Dairy & Eggs,2023-09-12,60
Chicken Breast,Meat & Seafood,2023-09-12,100
Cumin Powder,Condiments & Spices,2023-09-12,37
Dark Chocolate,Snacks & Confectionery,2023-09-12,42
Eggs (12pk),Dairy & Eggs,2023-09-12,210
Frozen Peas (500g),Frozen Foods,2023-09-12,67
Frozen Pizza,Frozen Foods,2023-09-12,47
Greek Yogurt,Dairy & Eggs,2023-09-12,78
Green Tea (20pk),Beverages,2023-09-12,38
Ground Beef,Meat & Seafood,2023-09-12,121
Honey (500g),Snacks & Confectionery,2023-09-12,65
Milk (1L),Dairy & Eggs,2023-09-12,182
Mineral Water (2L),Beverages,2023-09-12,207
Oats (1kg),Grains & Staples,2023-09-12,87
Olive Oil,Oils & Fats,2023-09-12,43
Onions,Fruits & Vegetables,2023-09-12,120
Orange Juice (1L),Beverages,2023-09-12,117
Pasta (500g),Grains & Staples,2023-09-12,105
Potato Chips,Snacks & Confectionery,2023-09-12,134
Potatoes,Fruits & Vegetables,2023-09-12,82
Rice (5kg),Grains & Staples,2023-09-12,188
Salmon Fillet,Meat & Seafood,2023-09-12,48
Soy Sauce (300ml),Condiments & Spices,2023-09-12,67
Spinach,Fruits & Vegetables,2023-09-12,48
Tomato Ketchup,Condiments & Spices,2023-09-12,105
Tomatoes,Fruits & Vegetables,2023-09-12,101
Tuna (Canned),Meat & Seafood,2023-09-12,111
Vegetable Oil,Oils & Fats,2023-09-12,110
Whole Wheat Bread,Grains & Staples,2023-09-12,155
Bananas,Fruits & Vegetables,2023-09-13,181
Bell Pepper,Fruits & Vegetables,2023-09-13,77
Butter (250g),Oils & Fats,2023-09-13,80
Cheddar Cheese,Dairy & Eggs,2023-09-13,50
Chicken Breast,Meat & Seafood,2023-09-13,103
Cumin Powder,Condiments & Spices,2023-09-13,43
Dark Chocolate,Snacks & Confectionery,2023-09-13,76
Eggs (12pk),Dairy & Eggs,2023-09-13,216
Frozen Peas (500g),Frozen Foods,2023-09-13,64
Frozen Pizza,Frozen Foods,2023-09-13,60
Greek Yogurt,Dairy & Eggs,2023-09-13,113
Green Tea (20pk),Beverages,2023-09-13,67
Ground Beef,Meat & Seafood,2023-09-13,118
Honey (500g),Snacks & Confectionery,2023-09-13,46
Milk (1L),Dairy & Eggs,2023-09-13,201
Mineral Water (2L),Beverages,2023-09-13,214
Oats (1kg),Grains & Staples,2023-09-13,67
Olive Oil,Oils & Fats,2023-09-13,36
Onions,Fruits & Vegetables,2023-09-13,119
Orange Juice (1L),Beverages,2023-09-13,109
Pasta (500g),Grains & Staples,2023-09-13,116
Potato Chips,Snacks & Confectionery,2023-09-13,148
Potatoes,Fruits & Vegetables,2023-09-13,86
Rice (5kg),Grains & Staples,2023-09-13,205
Salmon Fillet,Meat & Seafood,2023-09-13,27
Soy Sauce (300ml),Condiments & Spices,2023-09-13,67
Spinach,Fruits & Vegetables,2023-09-13,58
Tomato Ketchup,Condiments & Spices,2023-09-13,114
Tomatoes,Fruits & Vegetables,2023-09-13,124
Tuna (Canned),Meat & Seafood,2023-09-13,152
Vegetable Oil,Oils & Fats,2023-09-13,125
Whole Wheat Bread,Grains & Staples,2023-09-13,153
Bananas,Fruits & Vegetables,2023-09-14,178
Bell Pepper,Fruits & Vegetables,2023-09-14,103
Butter (250g),Oils & Fats,2023-09-14,65
Cheddar Cheese,Dairy & Eggs,2023-09-14,61
Chicken Breast,Meat & Seafood,2023-09-14,132
Cumin Powder,Condiments & Spices,2023-09-14,55
Dark Chocolate,Snacks & Confectionery,2023-09-14,50
Eggs (12pk),Dairy & Eggs,2023-09-14,211
Frozen Peas (500g),Frozen Foods,2023-09-14,56
Frozen Pizza,Frozen Foods,2023-09-14,58
Greek Yogurt,Dairy & Eggs,2023-09-14,93
Green Tea (20pk),Beverages,2023-09-14,42
Ground Beef,Meat & Seafood,2023-09-14,93
Honey (500g),Snacks & Confectionery,2023-09-14,57
Milk (1L),Dairy & Eggs,2023-09-14,181
Mineral Water (2L),Beverages,2023-09-14,206
Oats (1kg),Grains & Staples,2023-09-14,63
Olive Oil,Oils & Fats,2023-09-14,37
Onions,Fruits & Vegetables,2023-09-14,112
Orange Juice (1L),Beverages,2023-09-14,104
Pasta (500g),Grains & Staples,2023-09-14,110
Potato Chips,Snacks & Confectionery,2023-09-14,111
Potatoes,Fruits & Vegetables,2023-09-14,107
Rice (5kg),Grains & Staples,2023-09-14,200
Salmon Fillet,Meat & Seafood,2023-09-14,37
Soy Sauce (300ml),Condiments & Spices,2023-09-14,65
Spinach,Fruits & Vegetables,2023-09-14,48
Tomato Ketchup,Condiments & Spices,2023-09-14,101
Tomatoes,Fruits & Vegetables,2023-09-14,111
Tuna (Canned),Meat & Seafood,2023-09-14,129
Vegetable Oil,Oils & Fats,2023-09-14,145
Whole Wheat Bread,Grains & Staples,2023-09-14,151
Bananas,Fruits & Vegetables,2023-09-15,136
Bell Pepper,Fruits & Vegetables,2023-09-15,73
Butter (250g),Oils & Fats,2023-09-15,62
Cheddar Cheese,Dairy & Eggs,2023-09-15,58
Chicken Breast,Meat & Seafood,2023-09-15,139
Cumin Powder,Condiments & Spices,2023-09-15,56
Dark Chocolate,Snacks & Confectionery,2023-09-15,60
Eggs (12pk),Dairy & Eggs,2023-09-15,229
Frozen Peas (500g),Frozen Foods,2023-09-15,54
Frozen Pizza,Frozen Foods,2023-09-15,55
Greek Yogurt,Dairy & Eggs,2023-09-15,119
Green Tea (20pk),Beverages,2023-09-15,61
Ground Beef,Meat & Seafood,2023-09-15,133
Honey (500g),Snacks & Confectionery,2023-09-15,60
Milk (1L),Dairy & Eggs,2023-09-15,185
Mineral Water (2L),Beverages,2023-09-15,210
Oats (1kg),Grains & Staples,2023-09-15,96
Olive Oil,Oils & Fats,2023-09-15,32
Onions,Fruits & Vegetables,2023-09-15,127
Orange Juice (1L),Beverages,2023-09-15,104
Pasta (500g),Grains & Staples,2023-09-15,85
Potato Chips,Snacks & Confectionery,2023-09-15,89
Potatoes,Fruits & Vegetables,2023-09-15,85
Rice (5kg),Grains & Staples,2023-09-15,217
Salmon Fillet,Meat & Seafood,2023-09-15,59
Soy Sauce (300ml),Condiments & Spices,2023-09-15,68
Spinach,Fruits & Vegetables,2023-09-15,30
Tomato Ketchup,Condiments & Spices,2023-09-15,96
Tomatoes,Fruits & Vegetables,2023-09-15,93
Tuna (Canned),Meat & Seafood,2023-09-15,121
Vegetable Oil,Oils & Fats,2023-09-15,129
Whole Wheat Bread,Grains & Staples,2023-09-15,162
Bananas,Fruits & Vegetables,2023-09-16,187
Bell Pepper,Fruits & Vegetables,2023-09-16,106
Butter (250g),Oils & Fats,2023-09-16,67
Cheddar Cheese,Dairy & Eggs,2023-09-16,78
Chicken Breast,Meat & Seafood,2023-09-16,135
Cumin Powder,Condiments & Spices,2023-09-16,59
Dark Chocolate,Snacks & Confectionery,2023-09-16,92
Eggs (12pk),Dairy & Eggs,2023-09-16,278
Frozen Peas (500g),Frozen Foods,2023-09-16,84
Frozen Pizza,Frozen Foods,2023-09-16,47
Greek Yogurt,Dairy & Eggs,2023-09-16,81
Green Tea (20pk),Beverages,2023-09-16,54
Ground Beef,Meat & Seafood,2023-09-16,147
Honey (500g),Snacks & Confectionery,2023-09-16,69
Milk (1L),Dairy & Eggs,2023-09-16,203
Mineral Water (2L),Beverages,2023-09-16,238
Oats (1kg),Grains & Staples,2023-09-16,82
Olive Oil,Oils & Fats,2023-09-16,54
Onions,Fruits & Vegetables,2023-09-16,149
Orange Juice (1L),Beverages,2023-09-16,132
Pasta (500g),Grains & Staples,2023-09-16,123
Potato Chips,Snacks & Confectionery,2023-09-16,141
Potatoes,Fruits & Vegetables,2023-09-16,124
Rice (5kg),Grains & Staples,2023-09-16,215
Salmon Fillet,Meat & Seafood,2023-09-16,83
Soy Sauce (300ml),Condiments & Spices,2023-09-16,90
Spinach,Fruits & Vegetables,2023-09-16,50
Tomato Ketchup,Condiments & Spices,2023-09-16,131
Tomatoes,Fruits & Vegetables,2023-09-16,135
Tuna (Canned),Meat & Seafood,2023-09-16,135
Vegetable Oil,Oils & Fats,2023-09-16,136
Whole Wheat Bread,Grains & Staples,2023-09-16,148
Bananas,Fruits & Vegetables,2023-09-17,224
Bell Pepper,Fruits & Vegetables,2023-09-17,111
Butter (250g),Oils & Fats,2023-09-17,81
Cheddar Cheese,Dairy & Eggs,2023-09-17,76
Chicken Breast,Meat & Seafood,2023-09-17,135
Cumin Powder,Condiments & Spices,2023-09-17,66
Dark Chocolate,Snacks & Confectionery,2023-09-17,93
Eggs (12pk),Dairy & Eggs,2023-09-17,250
Frozen Peas (500g),Frozen Foods,2023-09-17,84
Frozen Pizza,Frozen Foods,2023-09-17,66
Greek Yogurt,Dairy & Eggs,2023-09-17,115
Green Tea (20pk),Beverages,2023-09-17,78
Ground Beef,Meat & Seafood,2023-09-17,96
Honey (500g),Snacks & Confectionery,2023-09-17,58
Milk (1L),Dairy & Eggs,2023-09-17,215
Mineral Water (2L),Beverages,2023-09-17,240
Oats (1kg),Grains & Staples,2023-09-17,89
Olive Oil,Oils & Fats,2023-09-17,68
Onions,Fruits & Vegetables,2023-09-17,107
Orange Juice (1L),Beverages,2023-09-17,123
Pasta (500g),Grains & Staples,2023-09-17,119
Potato Chips,Snacks & Confectionery,2023-09-17,167
Potatoes,Fruits & Vegetables,2023-09-17,99
Rice (5kg),Grains & Staples,2023-09-17,228
Salmon Fillet,Meat & Seafood,2023-09-17,64
Soy Sauce (300ml),Condiments & Spices,2023-09-17,87
Spinach,Fruits & Vegetables,2023-09-17,57
Tomato Ketchup,Condiments & Spices,2023-09-17,123
Tomatoes,Fruits & Vegetables,2023-09-17,62
Tuna (Canned),Meat & Seafood,2023-09-17,168
Vegetable Oil,Oils & Fats,2023-09-17,156
Whole Wheat Bread,Grains & Staples,2023-09-17,173
Bananas,Fruits & Vegetables,2023-09-18,170
Bell Pepper,Fruits & Vegetables,2023-09-18,68
Butter (250g),Oils & Fats,2023-09-18,69
Cheddar Cheese,Dairy & Eggs,2023-09-18,57
Chicken Breast,Meat & Seafood,2023-09-18,126
Cumin Powder,Condiments & Spices,2023-09-18,57
Dark Chocolate,Snacks & Confectionery,2023-09-18,59
Eggs (12pk),Dairy & Eggs,2023-09-18,253
Frozen Peas (500g),Frozen Foods,2023-09-18,49
Frozen Pizza,Frozen Foods,2023-09-18,66
Greek Yogurt,Dairy & Eggs,2023-09-18,120
Green Tea (20pk),Beverages,2023-09-18,76
Ground Beef,Meat & Seafood,2023-09-18,118
Honey (500g),Snacks & Confectionery,2023-09-18,64
Milk (1L),Dairy & Eggs,2023-09-18,189
Mineral Water (2L),Beverages,2023-09-18,225
Oats (1kg),Grains & Staples,2023-09-18,78
Olive Oil,Oils & Fats,2023-09-18,45
Onions,Fruits & Vegetables,2023-09-18,133
Orange Juice (1L),Beverages,2023-09-18,72
Pasta (500g),Grains & Staples,2023-09-18,100
Potato Chips,Snacks & Confectionery,2023-09-18,95
Potatoes,Fruits & Vegetables,2023-09-18,110
Rice (5kg),Grains & Staples,2023-09-18,173
Salmon Fillet,Meat & Seafood,2023-09-18,63
Soy Sauce (300ml),Condiments & Spices,2023-09-18,66
Spinach,Fruits & Vegetables,2023-09-18,40
Tomato Ketchup,Condiments & Spices,2023-09-18,88
Tomatoes,Fruits & Vegetables,2023-09-18,121
Tuna (Canned),Meat & Seafood,2023-09-18,129
Vegetable Oil,Oils & Fats,2023-09-18,118
Whole Wheat Bread,Grains & Staples,2023-09-18,150
Bananas,Fruits & Vegetables,2023-09-19,163
Bell Pepper,Fruits & Vegetables,2023-09-19,81
Butter (250g),Oils & Fats,2023-09-19,55
Cheddar Cheese,Dairy & Eggs,2023-09-19,48
Chicken Breast,Meat & Seafood,2023-09-19,129
Cumin Powder,Condiments & Spices,2023-09-19,51
Dark Chocolate,Snacks & Confectionery,2023-09-19,60
Eggs (12pk),Dairy & Eggs,2023-09-19,203
Frozen Peas (500g),Frozen Foods,2023-09-19,69
Frozen Pizza,Frozen Foods,2023-09-19,47
Greek Yogurt,Dairy & Eggs,2023-09-19,88
Green Tea (20pk),Beverages,2023-09-19,37
Ground Beef,Meat & Seafood,2023-09-19,96
Honey (500g),Snacks & Confectionery,2023-09-19,57
Milk (1L),Dairy & Eggs,2023-09-19,163
Mineral Water (2L),Beverages,2023-09-19,217
Oats (1kg),Grains & Staples,2023-09-19,59
Olive Oil,Oils & Fats,2023-09-19,48
Onions,Fruits & Vegetables,2023-09-19,85
Orange Juice (1L),Beverages,2023-09-19,137
Pasta (500g),Grains & Staples,2023-09-19,87
Potato Chips,Snacks & Confectionery,2023-09-19,102
Potatoes,Fruits & Vegetables,2023-09-19,81
Rice (5kg),Grains & Staples,2023-09-19,198
Salmon Fillet,Meat & Seafood,2023-09-19,48
Soy Sauce (300ml),Condiments & Spices,2023-09-19,81
Spinach,Fruits & Vegetables,2023-09-19,43
Tomato Ketchup,Condiments & Spices,2023-09-19,108
Tomatoes,Fruits & Vegetables,2023-09-19,63
Tuna (Canned),Meat & Seafood,2023-09-19,134
Vegetable Oil,Oils & Fats,2023-09-19,135
Whole Wheat Bread,Grains & Staples,2023-09-19,187
Bananas,Fruits & Vegetables,2023-09-20,148
Bell Pepper,Fruits & Vegetables,2023-09-20,33
Butter (250g),Oils & Fats,2023-09-20,63
Cheddar Cheese,Dairy & Eggs,2023-09-20,51
Chicken Breast,Meat & Seafood,2023-09-20,144
Cumin Powder,Condiments & Spices,2023-09-20,45
Dark Chocolate,Snacks & Confectionery,2023-09-20,56
Eggs (12pk),Dairy & Eggs,2023-09-20,189
Frozen Peas (500g),Frozen Foods,2023-09-20,68
Frozen Pizza,Frozen Foods,2023-09-20,71
Greek Yogurt,Dairy & Eggs,2023-09-20,89
Green Tea (20pk),Beverages,2023-09-20,43
Ground Beef,Meat & Seafood,2023-09-20,133
Honey (500g),Snacks & Confectionery,2023-09-20,48
Milk (1L),Dairy & Eggs,2023-09-20,184
Mineral Water (2L),Beverages,2023-09-20,224
Oats (1kg),Grains & Staples,2023-09-20,88
Olive Oil,Oils & Fats,2023-09-20,57
Onions,Fruits & Vegetables,2023-09-20,127
Orange Juice (1L),Beverages,2023-09-20,120
Pasta (500g),Grains & Staples,2023-09-20,123
Potato Chips,Snacks & Confectionery,2023-09-20,125
Potatoes,Fruits & Vegetables,2023-09-20,106
Rice (5kg),Grains & Staples,2023-09-20,225
Salmon Fillet,Meat & Seafood,2023-09-20,49
Soy Sauce (300ml),Condiments & Spices,2023-09-20,74
Spinach,Fruits & Vegetables,2023-09-20,45
Tomato Ketchup,Condiments & Spices,2023-09-20,93
Tomatoes,Fruits & Vegetables,2023-09-20,90
Tuna (Canned),Meat & Seafood,2023-09-20,119
Vegetable Oil,Oils & Fats,2023-09-20,129
Whole Wheat Bread,Grains & Staples,2023-09-20,147
Bananas,Fruits & Vegetables,2023-09-21,153
Bell Pepper,Fruits & Vegetables,2023-09-21,66
Butter (250g),Oils & Fats,2023-09-21,61
Cheddar Cheese,Dairy & Eggs,2023-09-21,52
Chicken Breast,Meat & Seafood,2023-09-21,82
Cumin Powder,Condiments & Spices,2023-09-21,53
Dark Chocolate,Snacks & Confectionery,2023-09-21,49
Eggs (12pk),Dairy & Eggs,2023-09-21,233
Frozen Peas (500g),Frozen Foods,2023-09-21,49
Frozen Pizza,Frozen Foods,2023-09-21,42
Greek Yogurt,Dairy & Eggs,2023-09-21,96
Green Tea (20pk),Beverages,2023-09-21,61
Ground Beef,Meat & Seafood,2023-09-21,82
Honey (500g),Snacks & Confectionery,2023-09-21,41
Milk (1L),Dairy & Eggs,2023-09-21,183
Mineral Water (2L),Beverages,2023-09-21,217
Oats (1kg),Grains & Staples,2023-09-21,80
Olive Oil,Oils & Fats,2023-09-21,42
Onions,Fruits & Vegetables,2023-09-21,128
Orange Juice (1L),Beverages,2023-09-21,80
Pasta (500g),Grains & Staples,2023-09-21,131
Potato Chips,Snacks & Confectionery,2023-09-21,120
Potatoes,Fruits & Vegetables,2023-09-21,107
Rice (5kg),Grains & Staples,2023-09-21,194
Salmon Fillet,Meat & Seafood,2023-09-21,63
Soy Sauce (300ml),Condiments & Spices,2023-09-21,62
Spinach,Fruits & Vegetables,2023-09-21,45
Tomato Ketchup,Condiments & Spices,2023-09-21,91
Tomatoes,Fruits & Vegetables,2023-09-21,75
Tuna (Canned),Meat & Seafood,2023-09-21,127
Vegetable Oil,Oils & Fats,2023-09-21,91
Whole Wheat Bread,Grains & Staples,2023-09-21,166
Bananas,Fruits & Vegetables,2023-09-22,136
Bell Pepper,Fruits & Vegetables,2023-09-22,77
Butter (250g),Oils & Fats,2023-09-22,67
Cheddar Cheese,Dairy & Eggs,2023-09-22,54
Chicken Breast,Meat & Seafood,2023-09-22,115
Cumin Powder,Condiments & Spices,2023-09-22,54
Dark Chocolate,Snacks & Confectionery,2023-09-22,57
Eggs (12pk),Dairy & Eggs,2023-09-22,207
Frozen Peas (500g),Frozen Foods,2023-09-22,67
Frozen Pizza,Frozen Foods,2023-09-22,54
Greek Yogurt,Dairy & Eggs,2023-09-22,83
Green Tea (20pk),Beverages,2023-09-22,59
Ground Beef,Meat & Seafood,2023-09-22,103
Honey (500g),Snacks & Confectionery,2023-09-22,61
Milk (1L),Dairy & Eggs,2023-09-22,182
Mineral Water (2L),Beverages,2023-09-22,227
Oats (1kg),Grains & Staples,2023-09-22,92
Olive Oil,Oils & Fats,2023-09-22,62
Onions,Fruits & Vegetables,2023-09-22,92
Orange Juice (1L),Beverages,2023-09-22,95
Pasta (500g),Grains & Staples,2023-09-22,121
Potato Chips,Snacks & Confectionery,2023-09-22,132
Potatoes,Fruits & Vegetables,2023-09-22,88
Rice (5kg),Grains & Staples,2023-09-22,194
Salmon Fillet,Meat & Seafood,2023-09-22,70
Soy Sauce (300ml),Condiments & Spices,2023-09-22,54
Spinach,Fruits & Vegetables,2023-09-22,46
Tomato Ketchup,Condiments & Spices,2023-09-22,106
Tomatoes,Fruits & Vegetables,2023-09-22,71
Tuna (Canned),Meat & Seafood,2023-09-22,125
Vegetable Oil,Oils & Fats,2023-09-22,111
Whole Wheat Bread,Grains & Staples,2023-09-22,167
Bananas,Fruits & Vegetables,2023-09-23,205
Bell Pepper,Fruits & Vegetables,2023-09-23,78
Butter (250g),Oils & Fats,2023-09-23,67
Cheddar Cheese,Dairy & Eggs,2023-09-23,71
Chicken Breast,Meat & Seafood,2023-09-23,111
Cumin Powder,Condiments & Spices,2023-09-23,65
Dark Chocolate,Snacks & Confectionery,2023-09-23,56
Eggs (12pk),Dairy & Eggs,2023-09-23,277
Frozen Peas (500g),Frozen Foods,2023-09-23,62
Frozen Pizza,Frozen Foods,2023-09-23,85
Greek Yogurt,Dairy & Eggs,2023-09-23,104
Green Tea (20pk),Beverages,2023-09-23,72
Ground Beef,Meat & Seafood,2023-09-23,139
Honey (500g),Snacks & Confectionery,2023-09-23,87
Milk (1L),Dairy & Eggs,2023-09-23,230
Mineral Water (2L),Beverages,2023-09-23,271
Oats (1kg),Grains & Staples,2023-09-23,79
Olive Oil,Oils & Fats,2023-09-23,71
Onions,Fruits & Vegetables,2023-09-23,124
Orange Juice (1L),Beverages,2023-09-23,116
Pasta (500g),Grains & Staples,2023-09-23,147
Potato Chips,Snacks & Confectionery,2023-09-23,122
Potatoes,Fruits & Vegetables,2023-09-23,126
Rice (5kg),Grains & Staples,2023-09-23,259
Salmon Fillet,Meat & Seafood,2023-09-23,75
Soy Sauce (300ml),Condiments & Spices,2023-09-23,75
Spinach,Fruits & Vegetables,2023-09-23,42
Tomato Ketchup,Condiments & Spices,2023-09-23,112
Tomatoes,Fruits & Vegetables,2023-09-23,138
Tuna (Canned),Meat & Seafood,2023-09-23,156
Vegetable Oil,Oils & Fats,2023-09-23,154
Whole Wheat Bread,Grains & Staples,2023-09-23,221
Bananas,Fruits & Vegetables,2023-09-24,196
Bell Pepper,Fruits & Vegetables,2023-09-24,120
Butter (250g),Oils & Fats,2023-09-24,89
Cheddar Cheese,Dairy & Eggs,2023-09-24,76
Chicken Breast,Meat & Seafood,2023-09-24,136
Cumin Powder,Condiments & Spices,2023-09-24,66
Dark Chocolate,Snacks & Confectionery,2023-09-24,88
Eggs (12pk),Dairy & Eggs,2023-09-24,217
Frozen Peas (500g),Frozen Foods,2023-09-24,46
Frozen Pizza,Frozen Foods,2023-09-24,56
Greek Yogurt,Dairy & Eggs,2023-09-24,103
Green Tea (20pk),Beverages,2023-09-24,59
Ground Beef,Meat & Seafood,2023-09-24,132
Honey (500g),Snacks & Confectionery,2023-09-24,59
Milk (1L),Dairy & Eggs,2023-09-24,222
Mineral Water (2L),Beverages,2023-09-24,212
Oats (1kg),Grains & Staples,2023-09-24,89
Olive Oil,Oils & Fats,2023-09-24,54
Onions,Fruits & Vegetables,2023-09-24,113
Orange Juice (1L),Beverages,2023-09-24,136
Pasta (500g),Grains & Staples,2023-09-24,123
Potato Chips,Snacks & Confectionery,2023-09-24,138
Potatoes,Fruits & Vegetables,2023-09-24,122
Rice (5kg),Grains & Staples,2023-09-24,263
Salmon Fillet,Meat & Seafood,2023-09-24,47
Soy Sauce (300ml),Condiments & Spices,2023-09-24,83
Spinach,Fruits & Vegetables,2023-09-24,46
Tomato Ketchup,Condiments & Spices,2023-09-24,117
Tomatoes,Fruits & Vegetables,2023-09-24,105
Tuna (Canned),Meat & Seafood,2023-09-24,148
Vegetable Oil,Oils & Fats,2023-09-24,147
Whole Wheat Bread,Grains & Staples,2023-09-24,221
Bananas,Fruits & Vegetables,2023-09-25,155
Bell Pepper,Fruits & Vegetables,2023-09-25,58
Butter (250g),Oils & Fats,2023-09-25,73
Cheddar Cheese,Dairy & Eggs,2023-09-25,57
Chicken Breast,Meat & Seafood,2023-09-25,109
Cumin Powder,Condiments & Spices,2023-09-25,41
Dark Chocolate,Snacks & Confectionery,2023-09-25,71
Eggs (12pk),Dairy & Eggs,2023-09-25,255
Frozen Peas (500g),Frozen Foods,2023-09-25,59
Frozen Pizza,Frozen Foods,2023-09-25,68
Greek Yogurt,Dairy & Eggs,2023-09-25,81
Green Tea (20pk),Beverages,2023-09-25,74
Ground Beef,Meat & Seafood,2023-09-25,124
Honey (500g),Snacks & Confectionery,2023-09-25,57
Milk (1L),Dairy & Eggs,2023-09-25,199
Mineral Water (2L),Beverages,2023-09-25,189
Oats (1kg),Grains & Staples,2023-09-25,73
Olive Oil,Oils & Fats,2023-09-25,41
Onions,Fruits & Vegetables,2023-09-25,105
Orange Juice (1L),Beverages,2023-09-25,64
Pasta (500g),Grains & Staples,2023-09-25,97
Potato Chips,Snacks & Confectionery,2023-09-25,141
Potatoes,Fruits & Vegetables,2023-09-25,91
Rice (5kg),Grains & Staples,2023-09-25,201
Salmon Fillet,Meat & Seafood,2023-09-25,49
Soy Sauce (300ml),Condiments & Spices,2023-09-25,71
Spinach,Fruits & Vegetables,2023-09-25,30
Tomato Ketchup,Condiments & Spices,2023-09-25,101
Tomatoes,Fruits & Vegetables,2023-09-25,102
Tuna (Canned),Meat & Seafood,2023-09-25,110
Vegetable Oil,Oils & Fats,2023-09-25,111
Whole Wheat Bread,Grains & Staples,2023-09-25,162
Bananas,Fruits & Vegetables,2023-09-26,171
Bell Pepper,Fruits & Vegetables,2023-09-26,72
Butter (250g),Oils & Fats,2023-09-26,61
Cheddar Cheese,Dairy & Eggs,2023-09-26,57
Chicken Breast,Meat & Seafood,2023-09-26,114
Cumin Powder,Condiments & Spices,2023-09-26,47
Dark Chocolate,Snacks & Confectionery,2023-09-26,74
Eggs (12pk),Dairy & Eggs,2023-09-26,240
Frozen Peas (500g),Frozen Foods,2023-09-26,64
Frozen Pizza,Frozen Foods,2023-09-26,80
Greek Yogurt,Dairy & Eggs,2023-09-26,106
Green Tea (20pk),Beverages,2023-09-26,55
Ground Beef,Meat & Seafood,2023-09-26,78
Honey (500g),Snacks & Confectionery,2023-09-26,65
Milk (1L),Dairy & Eggs,2023-09-26,169
Mineral Water (2L),Beverages,2023-09-26,202
Oats (1kg),Grains & Staples,2023-09-26,76
Olive Oil,Oils & Fats,2023-09-26,51
Onions,Fruits & Vegetables,2023-09-26,103
Orange Juice (1L),Beverages,2023-09-26,90
Pasta (500g),Grains & Staples,2023-09-26,95
Potato Chips,Snacks & Confectionery,2023-09-26,97
Potatoes,Fruits & Vegetables,2023-09-26,84
Rice (5kg),Grains & Staples,2023-09-26,215
Salmon Fillet,Meat & Seafood,2023-09-26,53
Soy Sauce (300ml),Condiments & Spices,2023-09-26,78
Spinach,Fruits & Vegetables,2023-09-26,58
Tomato Ketchup,Condiments & Spices,2023-09-26,83
Tomatoes,Fruits & Vegetables,2023-09-26,94
Tuna (Canned),Meat & Seafood,2023-09-26,170
Vegetable Oil,Oils & Fats,2023-09-26,115
Whole Wheat Bread,Grains & Staples,2023-09-26,153
Bananas,Fruits & Vegetables,2023-09-27,179
Bell Pepper,Fruits & Vegetables,2023-09-27,81
Butter (250g),Oils & Fats,2023-09-27,63
Cheddar Cheese,Dairy & Eggs,2023-09-27,59
Chicken Breast,Meat & Seafood,2023-09-27,95
Cumin Powder,Condiments & Spices,2023-09-27,37
Dark Chocolate,Snacks & Confectionery,2023-09-27,52
Eggs (12pk),Dairy & Eggs,2023-09-27,192
Frozen Peas (500g),Frozen Foods,2023-09-27,60
Frozen Pizza,Frozen Foods,2023-09-27,56
Greek Yogurt,Dairy & Eggs,2023-09-27,95
Green Tea (20pk),Beverages,2023-09-27,42
Ground Beef,Meat & Seafood,2023-09-27,140
Honey (500g),Snacks & Confectionery,2023-09-27,46
Milk (1L),Dairy & Eggs,2023-09-27,183
Mineral Water (2L),Beverages,2023-09-27,205
